customerId,recommendedProducts
2082,2|1|8|21|38|20|48|5|15|7
2083,2|5|1|21|33|9|19|8|195|20|2|5|1|21|33|9|19|8|195|20|2|5|1|21|33|9|19|8|195|20
2084,75|74|90|73|294|2|10|83|15|47
2085,1|15|8|5|19|195|61|82|135|149|1|15|8|5|19|195|61|82|135|149|1|15|8|5|19|195|61|82|135|149|1|15|8|5|19|195|61|82|135|149|1|15|8|5|19|195|61|82|135|149|1|15|8|5|19|195|61|82|135|149|1|15|8|5|19|195|61|82|135|149|1|15|8|5|19|195|61|82|135|149|1|15|8|5|19|195|61|82|135|149|1|15|8|5|19|195|61|82|135|149|1|15|8|5|19|195|61|82|135|149|1|15|8|5|19|195|61|82|135|149
2086,67|188|116|138|2|82|8|55|1|61|67|188|116|138|2|82|8|55|1|61|67|188|116|138|2|82|8|55|1|61
2087,2|61|12|5|8|148|72|21|20|31|2|61|12|5|8|148|72|21|20|31|2|61|12|5|8|148|72|21|20|31|2|61|12|5|8|148|72|21|20|31|2|61|12|5|8|148|72|21|20|31|2|61|12|5|8|148|72|21|20|31|2|61|12|5|8|148|72|21|20|31|2|61|12|5|8|148|72|21|20|31|2|61|12|5|8|148|72|21|20|31
2088,1|21|152|8|15|36|192|20|94|38|1|21|152|8|15|36|192|20|94|38|1|21|152|8|15|36|192|20|94|38|1|21|152|8|15|36|192|20|94|38|1|21|152|8|15|36|192|20|94|38
2089,1|33|20|9|7|17|56|15|21|135|1|33|20|9|7|17|56|15|21|135|1|33|20|9|7|17|56|15|21|135|1|33|20|9|7|17|56|15|21|135
2090,119|34|2|127|8|148|1|20|192|15|119|34|2|127|8|148|1|20|192|15|119|34|2|127|8|148|1|20|192|15
2091,170|82|181|173|2|15|156|1|91|56|170|82|181|173|2|15|156|1|91|56
2092,1|14|8|21|5|15|33|47|135|12|1|14|8|21|5|15|33|47|135|12
2093,1|2|9|250|15|63|56|24|7|51|1|2|9|250|15|63|56|24|7|51|1|2|9|250|15|63|56|24|7|51|1|2|9|250|15|63|56|24|7|51
2094,1|9|33|2|21|93|20|0|156|7|1|9|33|2|21|93|20|0|156|7|1|9|33|2|21|93|20|0|156|7|1|9|33|2|21|93|20|0|156|7|1|9|33|2|21|93|20|0|156|7|1|9|33|2|21|93|20|0|156|7
2095,8|1|14|38|5|20|21|48|15|0|8|1|14|38|5|20|21|48|15|0|8|1|14|38|5|20|21|48|15|0|8|1|14|38|5|20|21|48|15|0|8|1|14|38|5|20|21|48|15|0|8|1|14|38|5|20|21|48|15|0|8|1|14|38|5|20|21|48|15|0|8|1|14|38|5|20|21|48|15|0|8|1|14|38|5|20|21|48|15|0
2096,298|47|2|1|8|61|152|14|94|55|298|47|2|1|8|61|152|14|94|55
2097,164|2|15|148|1|20|38|114|192|82|164|2|15|148|1|20|38|114|192|82|164|2|15|148|1|20|38|114|192|82|164|2|15|148|1|20|38|114|192|82|164|2|15|148|1|20|38|114|192|82
2098,2|38|1|79|5|14|21|148|72|272|2|38|1|79|5|14|21|148|72|272|2|38|1|79|5|14|21|148|72|272|2|38|1|79|5|14|21|148|72|272|2|38|1|79|5|14|21|148|72|272|2|38|1|79|5|14|21|148|72|272|2|38|1|79|5|14|21|148|72|272|2|38|1|79|5|14|21|148|72|272|2|38|1|79|5|14|21|148|72|272|2|38|1|79|5|14|21|148|72|272
2099,164|2|114|20|1|25|7|11|23|148|164|2|114|20|1|25|7|11|23|148|164|2|114|20|1|25|7|11|23|148|164|2|114|20|1|25|7|11|23|148|164|2|114|20|1|25|7|11|23|148|164|2|114|20|1|25|7|11|23|148
2100,12|2|1|20|14|97|11|8|5|15|12|2|1|20|14|97|11|8|5|15|12|2|1|20|14|97|11|8|5|15|12|2|1|20|14|97|11|8|5|15|12|2|1|20|14|97|11|8|5|15|12|2|1|20|14|97|11|8|5|15|12|2|1|20|14|97|11|8|5|15
2101,70|1|138|62|14|8|5|20|17|21|70|1|138|62|14|8|5|20|17|21|70|1|138|62|14|8|5|20|17|21|70|1|138|62|14|8|5|20|17|21|70|1|138|62|14|8|5|20|17|21
2102,48|38|79|36|2|194|114|175|5|166|48|38|79|36|2|194|114|175|5|166|48|38|79|36|2|194|114|175|5|166|48|38|79|36|2|194|114|175|5|166|48|38|79|36|2|194|114|175|5|166
2103,38|21|0|15|36|5|79|20|14|16|38|21|0|15|36|5|79|20|14|16|38|21|0|15|36|5|79|20|14|16|38|21|0|15|36|5|79|20|14|16|38|21|0|15|36|5|79|20|14|16|38|21|0|15|36|5|79|20|14|16
2104,47|8|5|17|61|15|19|3|195|20|47|8|5|17|61|15|19|3|195|20|47|8|5|17|61|15|19|3|195|20|47|8|5|17|61|15|19|3|195|20|47|8|5|17|61|15|19|3|195|20|47|8|5|17|61|15|19|3|195|20|47|8|5|17|61|15|19|3|195|20|47|8|5|17|61|15|19|3|195|20|47|8|5|17|61|15|19|3|195|20|47|8|5|17|61|15|19|3|195|20|47|8|5|17|61|15|19|3|195|20
2105,1|15|8|17|21|9|135|5|16|62|1|15|8|17|21|9|135|5|16|62|1|15|8|17|21|9|135|5|16|62
2106,13|1|20|2|5|17|65|166|81|77|13|1|20|2|5|17|65|166|81|77|13|1|20|2|5|17|65|166|81|77|13|1|20|2|5|17|65|166|81|77|13|1|20|2|5|17|65|166|81|77|13|1|20|2|5|17|65|166|81|77
2107,2|47|21|15|5|14|8|1|141|195|2|47|21|15|5|14|8|1|141|195|2|47|21|15|5|14|8|1|141|195|2|47|21|15|5|14|8|1|141|195|2|47|21|15|5|14|8|1|141|195
2108,148|1|107|21|15|14|33|8|181|61|148|1|107|21|15|14|33|8|181|61|148|1|107|21|15|14|33|8|181|61|148|1|107|21|15|14|33|8|181|61|148|1|107|21|15|14|33|8|181|61|148|1|107|21|15|14|33|8|181|61|148|1|107|21|15|14|33|8|181|61|148|1|107|21|15|14|33|8|181|61|148|1|107|21|15|14|33|8|181|61|148|1|107|21|15|14|33|8|181|61|148|1|107|21|15|14|33|8|181|61|148|1|107|21|15|14|33|8|181|61|148|1|107|21|15|14|33|8|181|61|148|1|107|21|15|14|33|8|181|61
2109,2|5|33|21|31|95|0|19|7|20|2|5|33|21|31|95|0|19|7|20|2|5|33|21|31|95|0|19|7|20|2|5|33|21|31|95|0|19|7|20
2110,2|1|8|21|38|20|48|5|15|7
2111,294|128|1|129|6|17|0|7|33|15|294|128|1|129|6|17|0|7|33|15|294|128|1|129|6|17|0|7|33|15|294|128|1|129|6|17|0|7|33|15
2112,5|2|14|1|145|34|272|13|20|23
2113,1|2|15|0|20|43|21|8|138|5|1|2|15|0|20|43|21|8|138|5|1|2|15|0|20|43|21|8|138|5|1|2|15|0|20|43|21|8|138|5
2114,8|79|2|1|194|15|20|25|11|166|8|79|2|1|194|15|20|25|11|166|8|79|2|1|194|15|20|25|11|166|8|79|2|1|194|15|20|25|11|166|8|79|2|1|194|15|20|25|11|166|8|79|2|1|194|15|20|25|11|166|8|79|2|1|194|15|20|25|11|166|8|79|2|1|194|15|20|25|11|166
2116,2|1|163|5|25|61|4|82|20|16|2|1|163|5|25|61|4|82|20|16|2|1|163|5|25|61|4|82|20|16|2|1|163|5|25|61|4|82|20|16|2|1|163|5|25|61|4|82|20|16
2117,2|1|15|8|9|14|51|13|73|135|2|1|15|8|9|14|51|13|73|135|2|1|15|8|9|14|51|13|73|135|2|1|15|8|9|14|51|13|73|135
2118,39|1|2|274|21|114|14|12|5|94|39|1|2|274|21|114|14|12|5|94
2119,21|0|20|61|14|33|12|8|15|11|21|0|20|61|14|33|12|8|15|11|21|0|20|61|14|33|12|8|15|11|21|0|20|61|14|33|12|8|15|11|21|0|20|61|14|33|12|8|15|11|21|0|20|61|14|33|12|8|15|11|21|0|20|61|14|33|12|8|15|11|21|0|20|61|14|33|12|8|15|11
2120,8|1|38|21|61|48|15|47|298|152|8|1|38|21|61|48|15|47|298|152|8|1|38|21|61|48|15|47|298|152|8|1|38|21|61|48|15|47|298|152|8|1|38|21|61|48|15|47|298|152|8|1|38|21|61|48|15|47|298|152|8|1|38|21|61|48|15|47|298|152|8|1|38|21|61|48|15|47|298|152|8|1|38|21|61|48|15|47|298|152|8|1|38|21|61|48|15|47|298|152|8|1|38|21|61|48|15|47|298|152|8|1|38|21|61|48|15|47|298|152|8|1|38|21|61|48|15|47|298|152|8|1|38|21|61|48|15|47|298|152|8|1|38|21|61|48|15|47|298|152|8|1|38|21|61|48|15|47|298|152|8|1|38|21|61|48|15|47|298|152|8|1|38|21|61|48|15|47|298|152
2121,1|2|12|7|20|173|8|13|16|97|1|2|12|7|20|173|8|13|16|97|1|2|12|7|20|173|8|13|16|97|1|2|12|7|20|173|8|13|16|97|1|2|12|7|20|173|8|13|16|97
2122,2|1|5|62|14|21|15|38|25|7|2|1|5|62|14|21|15|38|25|7|2|1|5|62|14|21|15|38|25|7|2|1|5|62|14|21|15|38|25|7|2|1|5|62|14|21|15|38|25|7|2|1|5|62|14|21|15|38|25|7|2|1|5|62|14|21|15|38|25|7|2|1|5|62|14|21|15|38|25|7|2|1|5|62|14|21|15|38|25|7|2|1|5|62|14|21|15|38|25|7|2|1|5|62|14|21|15|38|25|7|2|1|5|62|14|21|15|38|25|7|2|1|5|62|14|21|15|38|25|7
2123,8|2|48|38|9|151|14|70|20|240
2124,173|35|19|172|82|51|146|180|2|21
2125,1|14|15|5|55|20|8|17|21|33|1|14|15|5|55|20|8|17|21|33|1|14|15|5|55|20|8|17|21|33|1|14|15|5|55|20|8|17|21|33
2126,20|89|2|172|44|287|281|47|232|14
2127,2|185|21|15|5|20|294|8|33|9|2|185|21|15|5|20|294|8|33|9|2|185|21|15|5|20|294|8|33|9
2128,87|2|74|128|75|1|26|51|33|15
2130,2|0|21|5|15|9|31|33|8|13|2|0|21|5|15|9|31|33|8|13|2|0|21|5|15|9|31|33|8|13|2|0|21|5|15|9|31|33|8|13|2|0|21|5|15|9|31|33|8|13|2|0|21|5|15|9|31|33|8|13
2131,29|1|14|107|15|33|20|5|8|90|29|1|14|107|15|33|20|5|8|90|29|1|14|107|15|33|20|5|8|90|29|1|14|107|15|33|20|5|8|90|29|1|14|107|15|33|20|5|8|90
2132,2|23|0|164|29|107|21|15|31|20|2|23|0|164|29|107|21|15|31|20|2|23|0|164|29|107|21|15|31|20|2|23|0|164|29|107|21|15|31|20|2|23|0|164|29|107|21|15|31|20|2|23|0|164|29|107|21|15|31|20|2|23|0|164|29|107|21|15|31|20|2|23|0|164|29|107|21|15|31|20|2|23|0|164|29|107|21|15|31|20|2|23|0|164|29|107|21|15|31|20
2133,1|14|47|62|21|5|33|20|15|188|1|14|47|62|21|5|33|20|15|188
2134,253|20|135|25|118|52|2|96|64|206|253|20|135|25|118|52|2|96|64|206
2135,2|21|291|0|25|5|14|20|8|61|2|21|291|0|25|5|14|20|8|61|2|21|291|0|25|5|14|20|8|61|2|21|291|0|25|5|14|20|8|61|2|21|291|0|25|5|14|20|8|61|2|21|291|0|25|5|14|20|8|61
2136,2|34|1|8|21|166|15|39|5|150|2|34|1|8|21|166|15|39|5|150
2137,2|70|81|55|1|8|67|20|14|175|2|70|81|55|1|8|67|20|14|175|2|70|81|55|1|8|67|20|14|175
2138,37|170|289|97|109|9|11|15|51|20
2140,2|21|1|17|36|47|298|20|8|137|2|21|1|17|36|47|298|20|8|137|2|21|1|17|36|47|298|20|8|137|2|21|1|17|36|47|298|20|8|137|2|21|1|17|36|47|298|20|8|137|2|21|1|17|36|47|298|20|8|137|2|21|1|17|36|47|298|20|8|137|2|21|1|17|36|47|298|20|8|137|2|21|1|17|36|47|298|20|8|137|2|21|1|17|36|47|298|20|8|137|2|21|1|17|36|47|298|20|8|137
2141,2|21|19|5|0|14|31|61|47|15|2|21|19|5|0|14|31|61|47|15|2|21|19|5|0|14|31|61|47|15|2|21|19|5|0|14|31|61|47|15|2|21|19|5|0|14|31|61|47|15|2|21|19|5|0|14|31|61|47|15|2|21|19|5|0|14|31|61|47|15|2|21|19|5|0|14|31|61|47|15
2142,1|220|129|0|2|26|47|4|82|138
2143,185|2|19|1|82|21|5|14|47|3|185|2|19|1|82|21|5|14|47|3|185|2|19|1|82|21|5|14|47|3|185|2|19|1|82|21|5|14|47|3
2144,1|14|21|5|0|13|15|33|47|20|1|14|21|5|0|13|15|33|47|20|1|14|21|5|0|13|15|33|47|20|1|14|21|5|0|13|15|33|47|20|1|14|21|5|0|13|15|33|47|20|1|14|21|5|0|13|15|33|47|20
2145,2|1|21|33|82|8|91|14|152|19|2|1|21|33|82|8|91|14|152|19
2146,1|33|14|5|3|21|59|19|8|41|1|33|14|5|3|21|59|19|8|41|1|33|14|5|3|21|59|19|8|41
2147,2|5|21|0|33|19|81|59|15|20|2|5|21|0|33|19|81|59|15|20
2148,5|1|61|76|47|21|8|15|3|59|5|1|61|76|47|21|8|15|3|59
2149,2|21|20|5|48|13|61|82|19|7|2|21|20|5|48|13|61|82|19|7|2|21|20|5|48|13|61|82|19|7|2|21|20|5|48|13|61|82|19|7|2|21|20|5|48|13|61|82|19|7|2|21|20|5|48|13|61|82|19|7|2|21|20|5|48|13|61|82|19|7|2|21|20|5|48|13|61|82|19|7|2|21|20|5|48|13|61|82|19|7|2|21|20|5|48|13|61|82|19|7|2|21|20|5|48|13|61|82|19|7|2|21|20|5|48|13|61|82|19|7
2150,105|2|152|82|199|173|1|23|21|233|105|2|152|82|199|173|1|23|21|233
2151,2|1|48|13|20|21|38|150|7|79|2|1|48|13|20|21|38|150|7|79|2|1|48|13|20|21|38|150|7|79|2|1|48|13|20|21|38|150|7|79
2152,2|14|5|61|47|0|94|8|15|7|2|14|5|61|47|0|94|8|15|7|2|14|5|61|47|0|94|8|15|7
2153,21|5|95|8|2|1|251|20|160|225|21|5|95|8|2|1|251|20|160|225
2155,21|8|5|33|20|19|0|13|3|17|21|8|5|33|20|19|0|13|3|17|21|8|5|33|20|19|0|13|3|17|21|8|5|33|20|19|0|13|3|17|21|8|5|33|20|19|0|13|3|17|21|8|5|33|20|19|0|13|3|17|21|8|5|33|20|19|0|13|3|17|21|8|5|33|20|19|0|13|3|17|21|8|5|33|20|19|0|13|3|17
2156,1|85|15|8|3|17|21|19|47|41|1|85|15|8|3|17|21|19|47|41
2157,1|52|178|25|7|209|17|15|9|69
2158,5|2|1|33|28|12|7|55|95|40
2159,2|5|1|187|20|31|0|3|15|148|2|5|1|187|20|31|0|3|15|148|2|5|1|187|20|31|0|3|15|148|2|5|1|187|20|31|0|3|15|148
2161,86|119|2|1|5|7|15|148|47|20|86|119|2|1|5|7|15|148|47|20|86|119|2|1|5|7|15|148|47|20|86|119|2|1|5|7|15|148|47|20|86|119|2|1|5|7|15|148|47|20|86|119|2|1|5|7|15|148|47|20|86|119|2|1|5|7|15|148|47|20|86|119|2|1|5|7|15|148|47|20|86|119|2|1|5|7|15|148|47|20
2162,2|1|66|14|0|7|15|62|13|16|2|1|66|14|0|7|15|62|13|16|2|1|66|14|0|7|15|62|13|16|2|1|66|14|0|7|15|62|13|16
2163,164|294|128|129|1|6|2|0|25|262|164|294|128|129|1|6|2|0|25|262
2164,148|44|47|38|61|115|239|173|96|2|148|44|47|38|61|115|239|173|96|2|148|44|47|38|61|115|239|173|96|2|148|44|47|38|61|115|239|173|96|2|148|44|47|38|61|115|239|173|96|2|148|44|47|38|61|115|239|173|96|2|148|44|47|38|61|115|239|173|96|2|148|44|47|38|61|115|239|173|96|2|148|44|47|38|61|115|239|173|96|2
2165,41|111|269|2|13|193|256|97|164|206
2166,2|8|16|5|48|193|15|89|25|12|2|8|16|5|48|193|15|89|25|12|2|8|16|5|48|193|15|89|25|12|2|8|16|5|48|193|15|89|25|12|2|8|16|5|48|193|15|89|25|12|2|8|16|5|48|193|15|89|25|12|2|8|16|5|48|193|15|89|25|12|2|8|16|5|48|193|15|89|25|12|2|8|16|5|48|193|15|89|25|12|2|8|16|5|48|193|15|89|25|12|2|8|16|5|48|193|15|89|25|12|2|8|16|5|48|193|15|89|25|12|2|8|16|5|48|193|15|89|25|12|2|8|16|5|48|193|15|89|25|12
2167,2|8|15|21|5|14|23|38|11|166|2|8|15|21|5|14|23|38|11|166|2|8|15|21|5|14|23|38|11|166
2168,43|13|2|9|5|1|31|108|14|52|43|13|2|9|5|1|31|108|14|52
2169,1|33|21|8|14|15|3|19|148|0|1|33|21|8|14|15|3|19|148|0|1|33|21|8|14|15|3|19|148|0|1|33|21|8|14|15|3|19|148|0|1|33|21|8|14|15|3|19|148|0|1|33|21|8|14|15|3|19|148|0|1|33|21|8|14|15|3|19|148|0
2170,1|8|33|15|14|16|37|9|20|21|1|8|33|15|14|16|37|9|20|21|1|8|33|15|14|16|37|9|20|21|1|8|33|15|14|16|37|9|20|21|1|8|33|15|14|16|37|9|20|21
2171,2|5|0|21|47|61|31|19|33|59|2|5|0|21|47|61|31|19|33|59|2|5|0|21|47|61|31|19|33|59|2|5|0|21|47|61|31|19|33|59|2|5|0|21|47|61|31|19|33|59
2172,2|1|17|21|82|8|15|9|135|41
2173,2|1|187|21|8|148|38|82|15|33|2|1|187|21|8|148|38|82|15|33|2|1|187|21|8|148|38|82|15|33|2|1|187|21|8|148|38|82|15|33
2174,14|21|0|5|33|19|20|61|12|8|14|21|0|5|33|19|20|61|12|8
2175,1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0|1|145|20|38|211|48|61|14|70|0
2176,1|14|13|5|21|8|17|148|61|38|1|14|13|5|21|8|17|148|61|38|1|14|13|5|21|8|17|148|61|38|1|14|13|5|21|8|17|148|61|38|1|14|13|5|21|8|17|148|61|38|1|14|13|5|21|8|17|148|61|38|1|14|13|5|21|8|17|148|61|38|1|14|13|5|21|8|17|148|61|38|1|14|13|5|21|8|17|148|61|38|1|14|13|5|21|8|17|148|61|38|1|14|13|5|21|8|17|148|61|38|1|14|13|5|21|8|17|148|61|38|1|14|13|5|21|8|17|148|61|38|1|14|13|5|21|8|17|148|61|38|1|14|13|5|21|8|17|148|61|38|1|14|13|5|21|8|17|148|61|38
2177,114|2|173|265|169|82|252|1|5|253|114|2|173|265|169|82|252|1|5|253|114|2|173|265|169|82|252|1|5|253
2178,47|2|21|271|89|173|96|61|118|187|47|2|21|271|89|173|96|61|118|187|47|2|21|271|89|173|96|61|118|187
2179,14|1|5|8|48|138|38|21|17|33|14|1|5|8|48|138|38|21|17|33
2180,115|262|36|106|166|51|2|38|179|261
2181,2|1|17|21|20|7|8|15|70|61|2|1|17|21|20|7|8|15|70|61|2|1|17|21|20|7|8|15|70|61|2|1|17|21|20|7|8|15|70|61|2|1|17|21|20|7|8|15|70|61
2182,11|2|47|164|7|157|1|20|9|67|11|2|47|164|7|157|1|20|9|67|11|2|47|164|7|157|1|20|9|67|11|2|47|164|7|157|1|20|9|67|11|2|47|164|7|157|1|20|9|67
2183,2|31|70|82|8|20|0|62|21|138|2|31|70|82|8|20|0|62|21|138|2|31|70|82|8|20|0|62|21|138|2|31|70|82|8|20|0|62|21|138
2184,2|81|8|21|17|1|82|55|12|36
2186,2|1|8|21|38|20|48|5|15|7
2187,195|21|82|19|159|135|5|2|220|72|195|21|82|19|159|135|5|2|220|72
2188,55|2|81|186|1|5|18|21|12|14|55|2|81|186|1|5|18|21|12|14|55|2|81|186|1|5|18|21|12|14
2189,2|1|8|47|20|0|5|70|38|17|2|1|8|47|20|0|5|70|38|17|2|1|8|47|20|0|5|70|38|17|2|1|8|47|20|0|5|70|38|17|2|1|8|47|20|0|5|70|38|17|2|1|8|47|20|0|5|70|38|17|2|1|8|47|20|0|5|70|38|17|2|1|8|47|20|0|5|70|38|17|2|1|8|47|20|0|5|70|38|17|2|1|8|47|20|0|5|70|38|17|2|1|8|47|20|0|5|70|38|17|2|1|8|47|20|0|5|70|38|17|2|1|8|47|20|0|5|70|38|17|2|1|8|47|20|0|5|70|38|17|2|1|8|47|20|0|5|70|38|17
2190,207|82|173|2|8|7|1|48|157|36|207|82|173|2|8|7|1|48|157|36
2191,2|5|1|33|62|188|7|47|20|14|2|5|1|33|62|188|7|47|20|14|2|5|1|33|62|188|7|47|20|14
2192,2|171|70|1|138|20|62|21|17|47|2|171|70|1|138|20|62|21|17|47|2|171|70|1|138|20|62|21|17|47
2193,1|2|20|21|5|11|8|25|107|17|1|2|20|21|5|11|8|25|107|17|1|2|20|21|5|11|8|25|107|17|1|2|20|21|5|11|8|25|107|17|1|2|20|21|5|11|8|25|107|17|1|2|20|21|5|11|8|25|107|17|1|2|20|21|5|11|8|25|107|17|1|2|20|21|5|11|8|25|107|17|1|2|20|21|5|11|8|25|107|17|1|2|20|21|5|11|8|25|107|17|1|2|20|21|5|11|8|25|107|17|1|2|20|21|5|11|8|25|107|17|1|2|20|21|5|11|8|25|107|17
2194,28|47|1|2|40|82|245|104|16|6|28|47|1|2|40|82|245|104|16|6|28|47|1|2|40|82|245|104|16|6|28|47|1|2|40|82|245|104|16|6|28|47|1|2|40|82|245|104|16|6|28|47|1|2|40|82|245|104|16|6|28|47|1|2|40|82|245|104|16|6|28|47|1|2|40|82|245|104|16|6|28|47|1|2|40|82|245|104|16|6|28|47|1|2|40|82|245|104|16|6|28|47|1|2|40|82|245|104|16|6|28|47|1|2|40|82|245|104|16|6|28|47|1|2|40|82|245|104|16|6|28|47|1|2|40|82|245|104|16|6|28|47|1|2|40|82|245|104|16|6|28|47|1|2|40|82|245|104|16|6
2195,74|75|2|1|32|294|90|87|26|15|74|75|2|1|32|294|90|87|26|15|74|75|2|1|32|294|90|87|26|15
2196,2|8|5|82|20|21|7|61|44|12|2|8|5|82|20|21|7|61|44|12|2|8|5|82|20|21|7|61|44|12|2|8|5|82|20|21|7|61|44|12|2|8|5|82|20|21|7|61|44|12|2|8|5|82|20|21|7|61|44|12|2|8|5|82|20|21|7|61|44|12
2197,194|2|1|21|261|15|166|61|20|173|194|2|1|21|261|15|166|61|20|173|194|2|1|21|261|15|166|61|20|173
2198,2|21|20|8|14|5|148|61|44|7|2|21|20|8|14|5|148|61|44|7|2|21|20|8|14|5|148|61|44|7|2|21|20|8|14|5|148|61|44|7|2|21|20|8|14|5|148|61|44|7|2|21|20|8|14|5|148|61|44|7
2199,8|1|36|2|48|79|7|15|220|82|8|1|36|2|48|79|7|15|220|82|8|1|36|2|48|79|7|15|220|82|8|1|36|2|48|79|7|15|220|82|8|1|36|2|48|79|7|15|220|82|8|1|36|2|48|79|7|15|220|82|8|1|36|2|48|79|7|15|220|82
2200,8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170|8|1|38|14|44|15|5|20|61|170
2201,2|0|31|5|14|61|47|146|20|7|2|0|31|5|14|61|47|146|20|7|2|0|31|5|14|61|47|146|20|7
2202,2|1|21|8|82|148|44|7|12|15|2|1|21|8|82|148|44|7|12|15|2|1|21|8|82|148|44|7|12|15|2|1|21|8|82|148|44|7|12|15|2|1|21|8|82|148|44|7|12|15|2|1|21|8|82|148|44|7|12|15
2203,2|1|123|21|0|33|11|20|17|15|2|1|123|21|0|33|11|20|17|15|2|1|123|21|0|33|11|20|17|15|2|1|123|21|0|33|11|20|17|15
2204,21|5|15|0|14|20|8|33|13|61|21|5|15|0|14|20|8|33|13|61|21|5|15|0|14|20|8|33|13|61|21|5|15|0|14|20|8|33|13|61|21|5|15|0|14|20|8|33|13|61|21|5|15|0|14|20|8|33|13|61|21|5|15|0|14|20|8|33|13|61|21|5|15|0|14|20|8|33|13|61|21|5|15|0|14|20|8|33|13|61|21|5|15|0|14|20|8|33|13|61
2205,63|45|94|258|9|240|120|64|290|31
2206,1|47|2|21|56|7|9|151|20|238|1|47|2|21|56|7|9|151|20|238|1|47|2|21|56|7|9|151|20|238|1|47|2|21|56|7|9|151|20|238
2207,2|193|269|14|5|31|47|97|8|7|2|193|269|14|5|31|47|97|8|7|2|193|269|14|5|31|47|97|8|7|2|193|269|14|5|31|47|97|8|7|2|193|269|14|5|31|47|97|8|7|2|193|269|14|5|31|47|97|8|7|2|193|269|14|5|31|47|97|8|7|2|193|269|14|5|31|47|97|8|7|2|193|269|14|5|31|47|97|8|7|2|193|269|14|5|31|47|97|8|7|2|193|269|14|5|31|47|97|8|7|2|193|269|14|5|31|47|97|8|7
2208,138|70|2|62|1|86|11|21|61|0|138|70|2|62|1|86|11|21|61|0
2209,2|1|23|11|29|8|14|20|5|13|2|1|23|11|29|8|14|20|5|13|2|1|23|11|29|8|14|20|5|13|2|1|23|11|29|8|14|20|5|13|2|1|23|11|29|8|14|20|5|13|2|1|23|11|29|8|14|20|5|13
2210,14|1|211|5|15|33|8|21|44|20|14|1|211|5|15|33|8|21|44|20|14|1|211|5|15|33|8|21|44|20
2211,48|38|36|1|194|14|33|21|20|15|48|38|36|1|194|14|33|21|20|15|48|38|36|1|194|14|33|21|20|15|48|38|36|1|194|14|33|21|20|15
2212,181|2|173|82|170|15|148|0|7|94|181|2|173|82|170|15|148|0|7|94
2213,14|5|8|47|148|21|59|13|0|20|14|5|8|47|148|21|59|13|0|20|14|5|8|47|148|21|59|13|0|20|14|5|8|47|148|21|59|13|0|20|14|5|8|47|148|21|59|13|0|20|14|5|8|47|148|21|59|13|0|20|14|5|8|47|148|21|59|13|0|20|14|5|8|47|148|21|59|13|0|20
2214,14|1|20|3|5|8|15|16|70|21
2215,175|114|81|2|265|1|5|16|87|80|175|114|81|2|265|1|5|16|87|80
2216,2|114|8|13|1|7|9|51|173|20|2|114|8|13|1|7|9|51|173|20|2|114|8|13|1|7|9|51|173|20
2217,2|7|1|46|47|209|70|148|15|82|2|7|1|46|47|209|70|148|15|82|2|7|1|46|47|209|70|148|15|82|2|7|1|46|47|209|70|148|15|82|2|7|1|46|47|209|70|148|15|82|2|7|1|46|47|209|70|148|15|82
2218,2|1|21|29|8|82|20|15|5|33|2|1|21|29|8|82|20|15|5|33|2|1|21|29|8|82|20|15|5|33|2|1|21|29|8|82|20|15|5|33|2|1|21|29|8|82|20|15|5|33|2|1|21|29|8|82|20|15|5|33
2219,70|62|11|114|2|1|116|67|23|107|70|62|11|114|2|1|116|67|23|107
2220,119|2|33|21|0|15|31|20|7|14|119|2|33|21|0|15|31|20|7|14|119|2|33|21|0|15|31|20|7|14|119|2|33|21|0|15|31|20|7|14|119|2|33|21|0|15|31|20|7|14|119|2|33|21|0|15|31|20|7|14|119|2|33|21|0|15|31|20|7|14
